facility_name,facility_phone,facility_address,facility_type,geo_lng,geo_lat
광진발달장애인평생교육센터,24551221,서울특별시 광진구 아차산로 390 3층(자양동),볼링,127.0861555,37.5369205
이너라인GYM군자점,,서울특별시 광진구 천호대로 531-1 정익타워 지층 1호(중곡동),헬스,127.0777316,37.558318
용인대백두산태권도,29356161,"서울특별시 노원구 한글비석로5길 62 8단지상가 2층 용인대백두산태권도(중계동, 중계8단지주공아파트)",태권도,127.0753589,37.6461889
빌리버짐,29792999,서울특별시 노원구 동일로 1308 정안프라자 B1 빌리버짐(중계동),헬스,127.064184,37.6459749
용인대박사태권도,233944436,"서울특별시 동대문구 사가정로 65 201동 단지상가 2층(전농동, 래미안 크레시티)",태권도,127.0515337,37.5767239
빛나다아동청소년발달센터,29776920,서울특별시 노원구 월계로 370 b동 313호 빛나다아동발달센터(월계동),요가,127.0609491,37.6310464
용인대대한태권도,29712442,서울특별시 노원구 공릉로59길 15 웅천종합상가 502호 용인대 대한태권도(하계동),태권도,127.071092,37.633158
용인대대명태권도,226623007,"서울특별시 강서구 마곡서로 133 713동 205호(마곡동, 마곡엠밸리7단지)",태권도,126.8229811,37.5651924
특공무술 우리도장,29876190,서울특별시 강북구 도봉로 164 3층 체육관(미아동),기타종목,127.0276426,37.6234255
트윈스볼링장,29028080,"서울특별시 도봉구 도당로 6 지하1층 트윈스볼링장(쌍문동, 쌍문동 LG트윈빌2)",볼링,127.0353644,37.6587139
파스텔발란스 약수점,,서울특별시 중구 동호로 180 4층 파스텔발란스 약수점(신당동),필라테스,127.0113291,37.554421
용인대MTA태권도,220663338,서울특별시 구로구 천왕로 36 천왕센타프라자 5층 MTA태권도(천왕동),태권도,126.8393789,37.4808802
용인대 효 태권도,28070383,서울특별시 금천구 시흥대로68길 58 1층 용인대 효 태권도(시흥동),태권도,126.9024575,37.4574204
사단법인 글로벌보치아센터,262647390,"서울특별시 동작구 신대방1가길 38 105-203(신대방동, 동작상떼빌아파트)",기타종목,126.9067146,37.4876928
